City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Galesong,ID,2021-09-19 01:42:12,-5.3166,119.3661,80.62,55,98,3.96
119,Hobyo,SO,2021-09-19 01:42:12,5.3505,48.5268,77.5,86,100,20.42
120,Peniche,PT,2021-09-19 01:42:12,39.3558,-9.3811,64.11,86,5,21.12
121,Atuona,PF,2021-09-19 01:42:13,-9.8,-139.0333,77.92,74,18,17.4
122,Pevek,RU,2021-09-19 01:42:13,69.7008,170.3133,31.32,75,100,16.08
123,Te Anau,NZ,2021-09-19 01:42:13,-45.4167,167.7167,44.51,94,100,4.54
124,Mareeba,AU,2021-09-19 01:42:14,-17.0,145.4333,80.44,50,39,9.8
125,Dikson,RU,2021-09-19 01:42:14,73.5069,80.5464,34.16,75,10,25.99
126,Bilibino,RU,2021-09-19 01:42:14,68.0546,166.4372,29.32,72,45,6.29
127,Skjervoy,NO,2021-09-19 01:42:15,70.0311,20.9714,47.14,69,100,11.25
128,The Pas,CA,2021-09-19 01:42:15,53.8251,-101.2541,64.42,63,1,8.37
129,Hithadhoo,MV,2021-09-19 01:42:15,-0.6,73.0833,83.14,72,78,6.87
130,Port Keats,AU,2021-09-19 01:42:16,-14.25,129.55,89.76,44,6,3.67
131,Isangel,VU,2021-09-19 01:42:16,-19.55,169.2667,80.71,54,75,9.22
132,Puerto Ayacucho,VE,2021-09-19 01:42:16,5.6639,-67.6236,75.83,90,96,3.98
133,Nambucca Heads,AU,2021-09-19 01:42:16,-30.65,153.0,71.17,52,10,10.09
134,San Patricio,US,2021-09-19 01:42:17,28.017,-97.5169,86.68,66,0,6.98
135,Matara,LK,2021-09-19 01:42:17,5.9485,80.5353,80.92,81,100,4.85
136,Gorontalo,ID,2021-09-19 01:42:00,0.5412,123.0595,81.9,76,100,4.0
137,Barrow,US,2021-09-19 01:41:03,71.2906,-156.7887,35.62,80,90,13.8
138,Baykit,RU,2021-09-19 01:42:17,61.67,96.37,46.58,82,94,2.28
139,San Quintin,MX,2021-09-19 01:42:18,30.4833,-115.95,68.45,76,0,16.8
140,Ucluelet,CA,2021-09-19 01:37:36,48.9329,-125.5528,59.09,90,34,8.9
141,Hualmay,PE,2021-09-19 01:42:18,-11.0964,-77.6139,61.07,83,68,9.64
142,Yellowknife,CA,2021-09-19 01:37:47,62.456,-114.3525,50.52,46,75,18.41
143,Klaksvik,FO,2021-09-19 01:42:19,62.2266,-6.589,54.52,87,100,22.77
144,Cabo San Lucas,MX,2021-09-19 01:42:19,22.8909,-109.9124,87.1,79,31,8.77
145,Sandnessjoen,NO,2021-09-19 01:42:19,66.0217,12.6316,49.98,66,97,16.33
146,Saravan,AM,2021-09-19 01:42:19,39.7196,45.6483,56.05,59,1,5.26
147,Shieli,KZ,2021-09-19 01:42:20,44.1667,66.75,59.88,29,0,9.53
148,Thompson,CA,2021-09-19 01:42:20,55.7435,-97.8558,55.56,67,75,4.61
149,Ramgarh,IN,2021-09-19 01:42:20,23.6333,85.5167,75.25,83,99,3.44
150,Karratha,AU,2021-09-19 01:42:21,-20.7377,116.8463,85.78,19,1,11.1
151,Ulaanbaatar,MN,2021-09-19 01:39:03,47.9077,106.8832,50.13,71,40,2.24
152,Codrington,AU,2021-09-19 01:42:21,-38.2667,141.9667,52.32,89,100,21.3
153,Zhuhai,CN,2021-09-19 01:42:21,22.2769,113.5678,89.71,84,40,6.91
154,Lompoc,US,2021-09-19 01:42:22,34.6391,-120.4579,67.01,73,1,10.36
155,Tutoia,BR,2021-09-19 01:42:22,-2.7619,-42.2744,80.13,78,98,12.19
156,Tiksi,RU,2021-09-19 01:38:44,71.6872,128.8694,34.45,75,100,18.28
157,Waingapu,ID,2021-09-19 01:42:22,-9.6567,120.2641,87.03,51,31,14.81
158,Alofi,NU,2021-09-19 01:42:03,-19.0595,-169.9187,84.09,70,4,11.5
159,Trim,IE,2021-09-19 01:42:23,53.555,-6.7917,57.47,97,100,5.48
160,Half Moon Bay,US,2021-09-19 01:38:02,37.4636,-122.4286,72.03,83,90,4.61
161,Bethel,US,2021-09-19 01:42:23,41.3712,-73.414,73.71,88,40,3.44
162,Grindavik,IS,2021-09-19 01:42:23,63.8424,-22.4338,48.15,93,40,8.05
163,Khatanga,RU,2021-09-19 01:42:24,71.9667,102.5,34.02,62,3,15.32
164,Gravdal,NO,2021-09-19 01:42:24,68.1214,13.5031,50.61,76,100,15.05
165,Shimoda,JP,2021-09-19 01:42:24,34.6667,138.95,75.56,77,95,19.55
166,San Andres,CO,2021-09-19 01:42:25,12.5847,-81.7006,82.42,83,40,6.91
167,Tsotilion,GR,2021-09-19 01:42:25,40.2667,21.3167,62.42,79,2,3.42
168,Estelle,US,2021-09-19 01:42:25,29.8458,-90.1067,79.03,83,20,3.44
169,Amvrosiyivka,UA,2021-09-19 01:40:22,47.7935,38.4777,59.81,61,100,8.55
170,Dzhebariki-Khaya,RU,2021-09-19 01:42:26,62.2167,135.8,41.38,95,100,6.58
171,Buraydah,SA,2021-09-19 01:42:26,26.326,43.975,82.85,19,5,8.7
172,Praia,CV,2021-09-19 01:42:26,14.9215,-23.5087,79.34,94,40,5.75
173,Maragogi,BR,2021-09-19 01:42:27,-9.0122,-35.2225,73.24,79,7,7.52
174,Airai,TL,2021-09-19 01:42:27,-8.9266,125.4092,75.45,36,18,5.23
175,Tripoli,LY,2021-09-19 01:38:22,32.8752,13.1875,84.7,32,0,10.89
176,Luganville,VU,2021-09-19 01:42:27,-15.5333,167.1667,80.11,81,49,14.36
177,Sakakah,SA,2021-09-19 01:42:28,29.9697,40.2064,80.17,25,0,8.52
178,Krasnoselkup,RU,2021-09-19 01:42:28,65.7,82.4667,39.79,87,86,9.89
179,Asuncion Nochixtlan,MX,2021-09-19 01:42:28,17.4667,-97.2333,60.04,88,100,3.71
180,Henties Bay,NA,2021-09-19 01:42:28,-22.116,14.2845,52.86,93,0,6.26
181,Cape Coast,GH,2021-09-19 01:42:29,5.1053,-1.2466,75.0,93,100,7.02
182,Avera,US,2021-09-19 01:42:29,33.194,-82.5271,79.72,63,100,2.24
183,Mar Del Plata,AR,2021-09-19 01:39:08,-38.0023,-57.5575,53.62,100,90,8.05
184,Gogrial,SS,2021-09-19 01:42:29,8.5332,28.1004,68.74,96,86,3.49
185,Wanlaweyn,SO,2021-09-19 01:42:30,2.6185,44.8938,74.73,83,55,11.99
186,Harper,LR,2021-09-19 01:42:30,4.375,-7.7169,76.62,87,42,8.14
187,Buriti Bravo,BR,2021-09-19 01:42:31,-5.8372,-43.8336,78.69,40,34,0.72
188,Asau,RO,2021-09-19 01:42:31,46.4333,26.4,56.75,78,26,5.91
189,Newport,GB,2021-09-19 01:41:29,51.5877,-2.9984,60.8,89,100,8.21
190,Taiyuan,CN,2021-09-19 01:42:31,37.8694,112.5603,58.86,88,90,4.47
191,Reconquista,AR,2021-09-19 01:42:32,-29.15,-59.65,69.01,77,47,11.23
192,Saint-Francois,FR,2021-09-19 01:42:32,46.4154,3.9054,56.48,94,90,4.61
193,Hasaki,JP,2021-09-19 01:42:32,35.7333,140.8333,77.4,68,99,25.14
194,Beitbridge,ZW,2021-09-19 01:42:32,-22.2167,30.0,54.66,72,0,14.2
195,Piqua,US,2021-09-19 01:42:33,40.1448,-84.2424,76.53,83,35,9.55
196,Trondheim,NO,2021-09-19 01:42:33,63.4305,10.3951,54.01,80,3,6.02
197,Kamenka,RU,2021-09-19 01:42:33,51.3223,42.7678,48.27,49,100,11.03
198,Brae,GB,2021-09-19 01:42:26,60.3964,-1.353,55.31,94,83,16.75
199,Nouadhibou,MR,2021-09-19 01:42:34,20.931,-17.0347,75.38,80,87,8.46
200,Iqaluit,CA,2021-09-19 01:42:34,63.7506,-68.5145,35.33,87,90,3.44
201,Nalut,LY,2021-09-19 01:42:34,30.3333,10.85,77.9,19,0,12.24
202,Rundu,NA,2021-09-19 01:42:35,-17.9333,19.7667,68.99,32,80,6.06
203,Pierre,US,2021-09-19 01:42:35,44.3683,-100.351,83.86,47,1,5.01
204,Araxa,BR,2021-09-19 01:39:01,-19.5933,-46.9406,78.76,38,0,5.75
205,Honningsvag,NO,2021-09-19 01:42:35,70.9821,25.9704,43.57,77,33,21.99
206,Dustlik,UZ,2021-09-19 01:42:36,40.5247,68.0358,66.2,35,0,6.62
207,Seydi,TM,2021-09-19 01:42:36,39.4816,62.9137,68.22,24,0,11.27
208,Fereydun Kenar,IR,2021-09-19 01:42:36,36.6864,52.5225,71.91,71,0,6.98
209,Olga,RU,2021-09-19 01:42:36,43.7444,135.2892,70.83,38,62,3.02
210,Syracuse,IT,2021-09-19 01:42:37,37.0881,15.2792,79.9,64,6,9.28
211,Gazli,UZ,2021-09-19 01:42:37,40.1333,63.45,71.4,20,0,9.17
212,Ambatofinandrahana,MG,2021-09-19 01:42:38,-20.55,46.8,52.14,86,24,4.85
213,Ashland,US,2021-09-19 01:42:38,40.8167,-82.2665,70.81,87,0,6.49
214,Evanston,US,2021-09-19 01:42:38,42.0411,-87.6901,70.2,77,1,1.01
215,Novoagansk,RU,2021-09-19 01:42:39,61.9449,76.6625,35.91,97,100,15.35
216,Muscat,OM,2021-09-19 01:42:39,23.6139,58.5922,86.02,65,30,5.79
217,Fortuna,US,2021-09-19 01:42:39,40.5982,-124.1573,65.43,82,75,8.05
218,Prabumulih,ID,2021-09-19 01:42:39,-3.45,104.25,81.45,78,92,3.51
219,Hofn,IS,2021-09-19 01:42:40,64.2539,-15.2082,51.78,89,45,19.62
220,Saskylakh,RU,2021-09-19 01:42:40,71.9167,114.0833,29.73,81,25,3.29
221,Graaff-Reinet,ZA,2021-09-19 01:42:40,-32.2522,24.5308,64.09,44,100,8.9
222,Garissa,KE,2021-09-19 01:42:41,-0.4536,39.6401,73.67,78,41,14.36
223,Mirnyy,RU,2021-09-19 01:38:32,62.5353,113.9611,41.61,60,89,3.98
224,Rodrigues Alves,BR,2021-09-19 01:42:41,-7.738,-72.6509,75.6,73,1,2.98
225,Iskateley,RU,2021-09-19 01:42:41,67.6803,53.1512,37.74,77,100,16.73
226,Nome,US,2021-09-19 01:42:01,64.5011,-165.4064,49.15,71,90,13.8
227,Zaozerne,UA,2021-09-19 01:39:00,45.1582,33.2787,69.94,88,100,5.21
228,Zhezkazgan,KZ,2021-09-19 01:42:42,47.8043,67.7144,46.65,55,45,6.89
229,Narsaq,GL,2021-09-19 01:42:42,60.9167,-46.05,41.22,97,100,4.05
230,San Ramon,US,2021-09-19 01:39:30,37.7799,-121.978,71.28,80,1,1.99
231,Shenjiamen,CN,2021-09-19 01:42:42,29.9576,122.298,76.71,80,64,13.44
232,Imeni Poliny Osipenko,RU,2021-09-19 01:42:43,52.4201,136.4853,55.76,36,56,3.74
233,Buluang,PH,2021-09-19 01:42:43,13.3068,123.3425,81.64,79,100,3.49
234,Balykshi,KZ,2021-09-19 01:42:43,47.0667,51.8667,48.2,53,0,8.95
235,Senador Pompeu,BR,2021-09-19 01:42:44,-5.5881,-39.3717,79.21,52,61,4.52
236,Trairi,BR,2021-09-19 01:42:14,-3.2778,-39.2689,78.44,80,9,14.29
237,Safaga,EG,2021-09-19 01:42:44,26.7292,33.9365,80.55,53,0,10.38
238,Altay,CN,2021-09-19 01:42:44,47.8667,88.1167,65.86,35,1,2.33
239,Sorland,NO,2021-09-19 01:42:45,67.667,12.6934,51.62,76,100,17.49
240,Haines Junction,CA,2021-09-19 01:42:45,60.7522,-137.5108,48.15,81,100,1.14
241,Dharchula,IN,2021-09-19 01:42:45,29.85,80.5333,74.46,87,41,1.7
242,Chuy,UY,2021-09-19 01:42:46,-33.6971,-53.4616,57.65,98,24,6.13
243,Itarema,BR,2021-09-19 01:42:46,-2.9248,-39.9167,78.44,80,8,18.3
244,Geraldton,AU,2021-09-19 01:42:46,-28.7667,114.6,64.81,63,4,10.36
245,Sinnamary,GF,2021-09-19 01:42:46,5.3833,-52.95,78.35,87,56,7.52
246,Hambantota,LK,2021-09-19 01:42:47,6.1241,81.1185,77.34,100,20,1.14
247,Mandalgovi,MN,2021-09-19 01:42:47,45.7625,106.2708,57.42,67,98,7.47
248,Vila Franca Do Campo,PT,2021-09-19 01:41:37,37.7167,-25.4333,66.61,71,87,6.08
249,Longyearbyen,SJ,2021-09-19 01:40:05,78.2186,15.6401,46.24,81,75,12.66
250,Fengxian,CN,2021-09-19 01:42:47,34.7039,116.5872,76.26,77,92,16.33
251,Port Hardy,CA,2021-09-19 01:42:48,50.6996,-127.4199,55.58,88,75,9.22
252,Bairiki,KI,2021-09-19 01:42:48,1.3292,172.9752,87.8,66,40,17.27
253,Gat,IL,2021-09-19 01:42:48,31.61,34.7642,72.81,68,0,4.92
254,Sobolevo,RU,2021-09-19 01:42:49,54.4299,31.8996,42.33,94,100,18.66
255,Clyde River,CA,2021-09-19 01:42:49,70.4692,-68.5914,29.55,83,100,3.02
256,Namibe,AO,2021-09-19 01:42:49,-15.1961,12.1522,59.59,86,7,3.47
257,Soyo,AO,2021-09-19 01:42:50,-6.1349,12.3689,71.29,81,24,4.23
258,Saint George,US,2021-09-19 01:42:50,37.1041,-113.5841,79.39,57,90,5.99
259,Yurino,RU,2021-09-19 01:42:50,56.2942,46.3039,34.92,86,44,3.24
260,Neiafu,TO,2021-09-19 01:42:50,-18.65,-173.9833,83.08,78,40,5.75
261,Vienenburg,DE,2021-09-19 01:42:51,51.95,10.5667,53.91,93,53,5.44
262,Lieksa,FI,2021-09-19 01:42:51,63.3167,30.0167,41.83,65,100,3.91
263,Namatanai,PG,2021-09-19 01:42:51,-3.6667,152.4333,85.05,69,86,9.89
264,Rio Grande,BR,2021-09-19 01:42:52,-32.035,-52.0986,62.94,94,25,8.01
265,Souillac,MU,2021-09-19 01:42:52,-20.5167,57.5167,68.38,94,75,5.75
266,Netphen,DE,2021-09-19 01:42:52,50.9167,8.1,54.59,91,11,4.18
