City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Nara,JP,34.6851,135.8049,74.48,77,96,2.28,overcast clouds
317,Neuquen,AR,-38.9516,-68.0591,67.3,24,1,5.39,clear sky
318,Saint-Joseph,RE,-21.3667,55.6167,70.18,78,44,13.31,scattered clouds
319,Nuuk,GL,64.1835,-51.7216,34.41,40,1,5.75,clear sky
320,Yulara,AU,-25.2406,130.9889,53.31,22,0,6.62,clear sky
321,Do Gonbadan,IR,30.3586,50.7981,82.54,14,0,5.46,clear sky
322,Makakilo City,US,21.3469,-158.0858,75.52,75,1,3.44,clear sky
323,Valparaiso,CL,-33.0393,-71.6273,68.23,49,0,4.61,clear sky
324,Paka,MY,4.6374,103.4368,79.14,83,86,2.93,overcast clouds
325,Manaure,CO,11.7751,-72.4445,88.9,59,100,5.95,overcast clouds
326,Porto Novo,BJ,6.4965,2.6036,83.14,70,86,9.17,overcast clouds
327,Binzhou,CN,37.3667,118.0167,68.65,92,100,7.43,light rain
328,Alyangula,AU,-13.8483,136.4192,71.96,83,27,7.07,scattered clouds
329,Katobu,ID,-4.9408,122.5276,72.7,93,97,3.56,overcast clouds
330,Fairbanks,US,64.8378,-147.7164,31.24,72,75,2.3,broken clouds
331,Nizwa,OM,22.9333,57.5333,93.67,28,99,6.13,overcast clouds
332,Talikota,IN,16.4833,76.3167,75.78,83,100,16.62,overcast clouds
333,Novikovo,RU,51.1537,37.8879,47.7,81,100,2.8,moderate rain
334,Souillac,MU,-20.5167,57.5167,72.36,78,24,13.73,few clouds
335,Le Vauclin,MQ,14.5452,-60.8388,90.84,66,90,10.36,overcast clouds
336,Kenai,US,60.5544,-151.2583,42.03,70,90,20.71,overcast clouds
337,Dalbandin,PK,28.8947,64.4101,86.67,8,0,4.9,clear sky
338,Southbridge,US,42.0751,-72.0334,79.29,86,27,1.99,scattered clouds
339,Taby,SE,59.4439,18.0687,54.14,83,40,9.22,scattered clouds
340,Spornoye,RU,50.8448,37.2913,48.22,86,100,4.0,overcast clouds
341,Didwana,IN,27.4,74.5667,79.12,81,100,7.09,moderate rain
342,Dingle,PH,10.9995,122.6711,76.06,90,89,5.12,overcast clouds
343,Kieta,PG,-6.2167,155.6333,77.54,84,93,3.47,overcast clouds
344,Sorland,NO,67.667,12.6934,50.07,70,68,15.1,broken clouds
345,Grindavik,IS,63.8424,-22.4338,43.27,87,90,21.85,overcast clouds
346,Tabas,IR,33.5959,56.9244,89.74,10,32,5.61,scattered clouds
